"record.id"	"Ambystoma"	"Ambystoma.gracile"	"Aneides"	"Aneides.flavipunctatus"	"Aneides.lugubris"	"Aneides.vagrans"	"Ascaphus.truei"	"Batrachoseps.attenuatis"	"Batrachoseps.attenuatus"	"Bufo.boreas"	"Dicamptodon.tenebrosus"	"Dicourptodon.ensatus"	"Ensatina.echscholtzi.oregonensis"	"Ensatina.eschscholtzi"	"Ensatina.eschscholtzi.picta"	"Ensatina.eschscholtzii"	"Ensatina.eschscholtzii.picta"	"Hyla.regilla"	"Plethodon.dunni"	"Plethodon.elongatus"	"Plethodon.elongatus.elongatus"	"Rana"	"Rana.aurora"	"Rana.aurora.aurora"	"Rana.boylii"	"Rana.cateesbeiana"	"Rana.catesbeiana"	"Rana.muscosa"	"Rhyacotriton.variegatus"	"Taricha"	"Taricha.granulosa"	"Taricha.rivularis"	"Taricha.torosa"
"REDW-1695"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1696"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Abundant-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1697"	NA	NA	NA	NA	NA	NA	"Present-Abundant-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1698"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA-NA-NA-In Review"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1699"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1700"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1701"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1702"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA-NA-NA-In Review"	NA	NA	NA	NA	NA	NA	NA
"REDW-1703"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA	NA	NA
"REDW-1704"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Present (False Report)-NA-NA-Approved"	NA	NA	NA	NA	NA
"REDW-1705"	"NA-NA-NA-In Review"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1706"	NA	"Present-Common-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1707"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Present-Abundant-Breeder-Approved"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1708"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA-NA-NA-In Review"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"REDW-1709"	NA	NA	"NA-NA-NA-In Review"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
